srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
Dindigul,315.7287719,11.9897002,12.98884188
Dindori,163.0,18.0,8.0
Diu,0.0,0.0,0.0
Doda,151.0,26.0,3.0
Dumka,202.0,19.0,15.0
Dungarpur,349.0,53.0,15.0
Durg,44.4119491,9.602583589,1.371797656
E-Champaran,234.0,103.0,2.0
East,34.0,39.0,0.0
East Garo Hills,46.0,15.0,2.0
East Godavari,190.0,39.0,2.0
East Jainta Hills,132.735614,27.88084536,6.732388252
East Kameng,10.239173346,5.704715228,3.654928896
East Khasi Hills,52.0,9.0,1.0
East Siang,16.0,3.0,2.0
Ernakulam,454.0,49.0,13.0
Erode,447.15411059999997,15.94670596,15.148523361999999
Etah,165.0,14.0,8.0
Etawah,255.0,33.0,5.0
F.G.Sahib,61.0,0.0,5.0
Faizabad (Ayodhya),165.0,13.0,8.0
Faridabad,93.0,2.0,8.0
Faridkot,54.0,3.0,4.0
Farrukhabad,302.0,35.0,7.0
Fatehabad,131.0,22.0,4.0
Fatehpur,216.0,43.0,9.0
Fazilka,84.0,6.0,6.0
Ferozpur,107.0,1.0,4.0
Firozabad,110.0,12.0,5.0
Gadag,414.0,77.0,9.0
Gadchiroli,60.0,1.0,6.0
Gajapati,56.0,8.0,4.0
Ganderbal,63.0,19.0,1.0
Gandhinagar,151.0,11.0,8.0
Ganganagar,414.0,52.0,17.0
Ganjam,139.0,13.0,4.0
Garhwa,64.0,0.0,5.0
Gariyaband,160.0,5.0,5.0
Gautam Buddha Nagar,130.0,21.0,4.0
Gaya,460.0,53.0,8.0
Ghaziabad,418.0,43.0,6.0
Ghazipur,320.0,39.0,16.0
Gir Somnath,140.0,21.0,6.0
Giridih,325.0,14.0,22.0
Goalpara,200.3962259,38.87284649,12.06398684
Godda,38.0,1.0,4.0
Golaghat,102.3861158,32.80331865,10.93443955
Gomati District,21.0,6.0,1.0
Gonda,513.0,57.0,9.0
Gondia,435.0,64.0,14.0
Gopalganj,179.0,28.0,6.0
Gorakhpur,214.0,34.0,4.0
Gulbarga,247.0,35.0,6.0
Gumla,165.0,25.0,10.0
Guna,233.0,20.0,7.0
Guntur,337.0,93.0,16.0
Gurdaspur,205.0,9.0,13.0
Gurugram,73.0,3.0,3.0
Gwalior,117.0,17.0,4.0
Hailakandi,162.6583875,28.44975599,5.566256607
Hamirpur,571.0,77.0,9.0
Hanumangarh,358.0,48.0,16.0
Haora,136.0,7.0,8.0
Hapur,242.0,26.0,2.0
Harda,107.0,7.0,3.0
Hardoi,263.0,33.0,7.0
Haridwar,160.0,26.0,7.0
Hassan,421.0,50.0,17.0
Hathras,291.0,27.0,12.0
Haveri,333.0,47.0,20.0
Hazaribagh,136.0,3.0,8.0
Hingoli,264.0,60.0,10.0
Hisar,189.0,7.0,10.0
Hoshangabad,263.0,15.0,9.0
