srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Assam,Kokrajhar,135,38,2,27,8,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,36
Assam,Lakhimpur,137,17,8,19,9,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,37
Assam,Marigaon,104,30,5,18,5,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,38
Assam,Nagaon,299,58,18,52,20,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,39
Assam,Nalbari,103,33,11,18,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,40
Assam,Sibsagar,202,38,4,18,7,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,41
Assam,Sonitpur,263,46,9,18,10,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,42
Assam,Tinsukia,146,15,8,20,7,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,43
Assam,Udalguri,129,15,6,17,7,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,605
Bihar,Araria,242,26,2,0,12,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,608
Bihar,Arwal,65,26,0,0,6,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,609
Bihar,Aurangabad,254,55,6,0,18,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,651
Bihar,Banka,237,30,4,2,12,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,662
Bihar,Begusarai,288,27,2,4,17,4,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,3,PUNJAB,737
Bihar,Bhagalpur,354,49,4,8,29,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,4,CHANDIGARH,44
Bihar,Bhojpur,298,31,4,0,14,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,45
Bihar,Buxar,160,29,1,0,11,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,46
Bihar,Darbhanga,398,79,8,0,24,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,47
Bihar,E-Champaran,529,40,11,3,13,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,48
Bihar,Gaya,260,52,9,1,20,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,49
Bihar,Gopalganj,460,53,8,9,7,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,50
Bihar,Jamui,179,28,6,6,8,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,51
Bihar,Jehanabad,102,33,2,5,7,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,52
Bihar,Kaimur,276,27,4,3,5,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,53
Bihar,Katihar,174,16,4,1,16,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,54
Bihar,Khagaria,323,49,1,4,8,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,55
Bihar,Kishanganj,186,20,1,0,10,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,56
Bihar,Lakhisarai,156,8,1,0,9,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,5,UTTARAKHAND,57
Bihar,Madhepura,98,11,1,4,7,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,58
Bihar,Madhubani,272,12,4,0,22,4,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,59
Bihar,Munger,376,75,2,0,12,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,60
Bihar,Muzaffarpur,152,12,9,2,21,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,61
Bihar,Nalanda,494,78,3,5,25,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,62
Bihar,Nawada,367,58,2,1,9,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,63
Bihar,Patna,171,33,4,3,38,4,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,64
Bihar,Purnia,234,103,2,0,20,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,65
Bihar,Rohtas,306,42,6,6,10,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,66
Bihar,Saharsa,251,44,1,0,9,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,67
Bihar,Samastipur,169,32,8,2,10,4,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,68
Bihar,Saran,355,65,9,3,12,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,69
Bihar,Sheikhpura,412,58,1,2,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,70
Bihar,Sheohar,85,19,0,0,4,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,71
Bihar,Sitamarhi,91,5,5,0,13,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,72
Bihar,Siwan,204,49,9,4,8,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,73
Bihar,Supaul,375,55,2,3,8,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,74
Bihar,Vaishali,178,23,2,3,13,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,75
Bihar,W- Champaran,334,28,2,0,24,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,76
Chhattisgarh,Balod,181,27,6,15,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,604
Chhattisgarh,Balodabazar,208,29,6,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,619
Chhattisgarh,Balrampur,179,25,6,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,6,HARYANA,701
Chhattisgarh,Bastar,228,36,8,25,5,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,77
Chhattisgarh,Bemetara,113,17,4,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,78
Chhattisgarh,Bijapur,98,5,5,25,6,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,79
Chhattisgarh,Bilaspur,259,56,8,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,80
Gujarat,Banaskantha,715,81,27,44,44,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,81
Gujarat,Bharuch,221,26,10,20,20,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,82
Gujarat,Bhavnagar,278,42,13,21,23,2,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,83
Gujarat,Botad,90,15,5,4,4,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,84
Chhattisgarh,Dantewada,56,8,4,20,5,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,85
Chhattisgarh,Dhamtari,139,13,4,55,13,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,670
Chhattisgarh,Durg,196,24,8,25,8,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,7,DELHI,671
Chhattisgarh,Gariyaband,184,15,6,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,86
Chhattisgarh,Janjgir-Champa,261,44,11,15,2,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,87
